energy,health,age,alive,planet_temp,planet_weather,hazards_count,inventory_food,inventory_water,inventory_materials,inventory_tools,successful_hunts,escapes,builds,trades,reproductions,attacks,gathers,explorations,hazard_radiation,hazard_toxic_gases,hazard_heat_stroke,hazard_freezing,action,action_success,decision_reason,tick,timestamp
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,1,2025-05-12T06:37:58.819338
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,1,2025-05-12T06:37:58.819781
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,1,2025-05-12T06:37:58.820451
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.825322
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.826172
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.827263
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.832781
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.838784
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,0,unknown,3,2025-05-12T06:37:58.844245
52,90,4,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORE,0,unknown,4,2025-05-12T06:37:58.854427
52,90,4,1,0,,0,9,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.857152
52,90,4,1,0,,0,9,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.897603
55,92,5,1,0,,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.907117
55,92,5,1,0,,0,8,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.912068
55,92,5,1,0,,0,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.918787
58,94,6,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:58.930861
58,94,6,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:58.942188
58,94,6,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:58.951067
41,92,7,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORE,0,unknown,7,2025-05-12T06:37:58.978880
41,92,7,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,2,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:59.039522
41,92,7,1,0,,0,7,7,8,0,0,0,0,0,0,0,0,2,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:59.061146
34,92,8,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,HIDE,0,unknown,8,2025-05-12T06:37:59.070899
34,92,8,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.093950
34,92,8,1,0,,0,7,7,8,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.114242
